rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
74,frame_0383.jpg,153.2,0.5825,0.626,0.8182,0.12,23,9,False,False
75,frame_0075.jpg,30.0,0.5817,0.6157,0.2727,0.96,13,3,False,False
76,frame_0272.jpg,108.8,0.5802,0.7465,0.6364,0.08,17,7,False,False
77,frame_0105.jpg,42.0,0.5773,0.7952,0.5455,0.08,18,6,False,False
78,frame_0315.jpg,126.0,0.5762,0.8863,0.3636,0.12,16,4,False,False
79,frame_0081.jpg,32.4,0.5749,0.6981,0.2727,0.72,14,3,False,False
80,frame_0324.jpg,129.6,0.5745,0.7352,0.6364,0.08,15,7,False,False
81,frame_0021.jpg,8.4,0.5738,0.584,0.2727,1.0,12,3,False,False
82,frame_0385.jpg,154.0,0.5724,0.6829,0.6364,0.2,18,7,False,False
83,frame_0172.jpg,68.8,0.5718,0.7109,0.4545,0.4,11,5,False,False
84,frame_0293.jpg,117.2,0.5705,0.6733,0.2727,0.76,11,3,False,False
85,frame_0231.jpg,92.4,0.5699,0.8031,0.4545,0.16,16,5,False,False
86,frame_0309.jpg,123.6,0.5678,0.7058,0.6364,0.12,20,7,False,False
87,frame_0005.jpg,2.0,0.5641,0.5645,0.2727,1.0,12,3,False,False
88,frame_0127.jpg,50.8,0.5617,0.6398,0.2727,0.8,16,3,False,False
89,frame_0071.jpg,28.4,0.5615,0.5594,0.2727,1.0,13,3,False,False
90,frame_0320.jpg,128.0,0.56,0.6422,0.6364,0.24,16,7,False,False
91,frame_0388.jpg,155.2,0.5588,0.7809,0.4545,0.16,19,5,False,False
92,frame_0323.jpg,129.2,0.5585,0.8508,0.3636,0.12,13,4,False,False
93,frame_0277.jpg,110.8,0.5567,0.674,0.5455,0.28,14,6,False,False
94,frame_0003.jpg,1.2,0.5566,0.4405,0.4545,1.0,16,5,False,False
95,frame_0332.jpg,132.8,0.555,0.8213,0.4545,0.04,16,5,False,False
96,frame_0194.jpg,77.6,0.5534,0.722,0.4545,0.28,12,5,False,False
97,frame_0271.jpg,108.4,0.5534,0.7634,0.5455,0.04,19,6,False,False
98,frame_0015.jpg,6.0,0.5494,0.5898,0.1818,1.0,8,2,False,False
99,frame_0224.jpg,89.6,0.5481,0.8301,0.3636,0.12,14,4,False,False
100,frame_0179.jpg,71.6,0.548,0.7207,0.5455,0.12,18,6,False,False
101,frame_0328.jpg,131.2,0.5474,0.79,0.4545,0.08,22,5,False,False
102,frame_0389.jpg,155.6,0.546,0.7712,0.4545,0.12,24,5,False,False
103,frame_0276.jpg,110.4,0.5457,0.668,0.5455,0.24,16,6,False,False
